brand,title,kilometer,gas_type,gear_box,year,price,ad_link,sv_avg_class,hp,cilinder
Abarth,Abarth 500e,1,electric,auto,2024,37981,https://www.standvirtual.com/carros/anuncio/abarth-500e-ID8PzylA.html,0,,
Abarth,Abarth 695 1.4 T-Jet MTA,1,petrol,auto,2024,36612,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-mta-ID8PzPUj.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet Turismo,39000,petrol,manual,2021,25990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8PJDcv.html,0,165,1368
Abarth,Abarth Grande Punto 1.4 T-Jet 16V,128000,petrol,manual,2010,11490,https://www.standvirtual.com/carros/anuncio/abarth-grande-punto-1-4-t-jet-16v-ID8PKy4k.html,0,155,1368
Abarth,Abarth Grande Punto 1.4 T-Jet Supersport,100000,petrol,manual,2008,13900,https://www.standvirtual.com/carros/anuncio/abarth-grande-punto-1-4-t-jet-supersport-ID8PK5jW.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet MTA,125000,petrol,auto,2016,15990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-mta-ID8PLpOJ.html,2,145,1368
Abarth,Abarth 500 1.4 T-Jet Essesse,114850,petrol,manual,2012,13990,https://www.standvirtual.com/carros/anuncio/abarth-500-1-4-t-jet-essesse-ID8PHLAU.html,0,160,1368
Abarth,Abarth 695 1.4 T-Jet MTA,8,petrol,auto,2024,41950,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-mta-ID8PKTm4.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet,44377,petrol,manual,2020,21750,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PF4Nj.html,0,145,1368
Abarth,Abarth 595C 1.4 T-Jet Turismo MTA,28597,petrol,auto,2022,27900,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-turismo-mta-ID8PLMxF.html,3,165,1368
Abarth,Abarth 500C 1.4 16V,163693,petrol,manual,2012,12990,https://www.standvirtual.com/carros/anuncio/abarth-500c-1-4-16v-ID8PKWBE.html,0,135,1368
Abarth,Abarth 595C,66000,petrol,manual,2014,18000,https://www.standvirtual.com/carros/anuncio/abarth-595c-ID8PKm02.html,0,140,1368
Abarth,Abarth 695C,38256,petrol,auto,2019,29990,https://www.standvirtual.com/carros/anuncio/abarth-695c-ID8PtnM3.html,0,180,1398
Abarth,Abarth 695C 1.4 T-Jet Rivale MTA,46272,petrol,auto,2019,25990,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-mta-ID8PIKPr.html,0,180,1368
Abarth,Abarth 500e Scorpionissima,5000,electric,auto,2023,36990,https://www.standvirtual.com/carros/anuncio/abarth-500e-scorpionissima-ID8PvQV2.html,0,,
Abarth,Abarth 695C 1.4 T-Jet Rivale MTA,38196,petrol,auto,2019,32900,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-mta-ID8PDAfI.html,0,180,1368
Abarth,Abarth 595C 1.4 T-Jet Competizione,55800,petrol,manual,2018,22500,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-competizione-ID8PKS6B.html,0,180,1368
Abarth,Abarth 695 1.4 T-Jet MTA,1147,petrol,auto,2024,39950,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-mta-ID8PGwZG.html,2,180,1368
Abarth,Abarth 595 1.4 T-Jet,100,petrol,manual,2024,29200,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-ID8PDVGX.html,0,165,1368
Abarth,Abarth 500e Scorpionissima,7000,electric,auto,2023,29900,https://www.standvirtual.com/carros/anuncio/abarth-500e-scorpionissima-ID8PvZym.html,0,,
Abarth,Abarth 595 1.4 T-Jet Competizione MTA,42000,petrol,auto,2015,16500,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-mta-ID8PLFqw.html,0,180,1368
Abarth,Abarth 500C,143231,petrol,auto,2012,15480,https://www.standvirtual.com/carros/anuncio/abarth-500c-ID8PoatH.html,0,140,1368
Abarth,Abarth 595C 1.4 T-Jet Turismo MTA,14421,petrol,auto,2022,28999,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-turismo-mta-ID8PIjei.html,3,165,1368
Abarth,Abarth 595C 1.4 T-Jet Pista,112000,petrol,manual,2015,17500,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-pista-ID8PLRUL.html,0,160,1368
Abarth,Abarth Grande Punto 1.4 T-Jet 16V,128000,petrol,manual,2010,11490,https://www.standvirtual.com/carros/anuncio/abarth-grande-punto-1-4-t-jet-16v-ID8PKy4k.html,0,155,1368
Abarth,Abarth 695 Competizione,5000,petrol,manual,2023,31900,https://www.standvirtual.com/carros/anuncio/abarth-695-competizione-ID8PE0Q7.html,0,180,1368
Abarth,Abarth 595C 1.4 T-Jet Turismo MTA,45778,petrol,auto,2022,24900,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-turismo-mta-ID8PLZCu.html,3,165,1368
Abarth,Abarth 595C 1.4 T-Jet Custom,40413,petrol,manual,2020,22900,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-custom-ID8PKClu.html,0,140,1368
Abarth,Abarth 500 1.4 T-Jet Elaborazione,177000,petrol,manual,2012,12950,https://www.standvirtual.com/carros/anuncio/abarth-500-1-4-t-jet-elaborazione-ID8PwhC2.html,0,135,1368
Abarth,Abarth 695C 1.4 T-Jet Rivale MTA,35000,petrol,auto,2018,26999,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-mta-ID8PKN5y.html,0,180,1368
Abarth,Abarth 500e Scorpionissima,16500,electric,auto,2023,32500,https://www.standvirtual.com/carros/anuncio/abarth-500e-scorpionissima-ID8PKCxj.html,0,,
Abarth,Abarth 595C 1.4 T-Jet Pista MTA,50000,petrol,auto,2017,19990,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-pista-mta-ID8PHMH4.html,0,160,1368
Abarth,Abarth 500e,1,electric,auto,2024,37981,https://www.standvirtual.com/carros/anuncio/abarth-500e-ID8PzylA.html,0,,
Abarth,Abarth 695 1.4 T-Jet MTA,1,petrol,auto,2024,36612,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-mta-ID8PzPUj.html,0,180,1368
Abarth,Abarth 500C 1.4 T-Jet Competizione,102000,petrol,auto,2011,15990,https://www.standvirtual.com/carros/anuncio/abarth-500c-1-4-t-jet-competizione-ID8PLP73.html,0,140,1368
Abarth,Abarth 595,143700,petrol,manual,2013,14900,https://www.standvirtual.com/carros/anuncio/abarth-595-ID8PHOvb.html,2,160,1368
Abarth,Abarth 500e,1,electric,auto,2024,37981,https://www.standvirtual.com/carros/anuncio/abarth-500e-ID8PzylA.html,0,,
Abarth,Abarth 695 1.4 T-Jet MTA,1,petrol,auto,2024,36612,https://www.standvirtual.com/carros/anuncio/abarth-695-1-4-t-jet-mta-ID8PzPUj.html,0,180,1368
Abarth,Abarth 595 1.4 T-Jet Turismo,39000,petrol,manual,2021,25990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-turismo-ID8PJDcv.html,0,165,1368
Abarth,Abarth Grande Punto 1.4 T-Jet 16V,128000,petrol,manual,2010,11490,https://www.standvirtual.com/carros/anuncio/abarth-grande-punto-1-4-t-jet-16v-ID8PKy4k.html,0,155,1368
Abarth,Abarth 695C 1.4 T-Jet Rivale MTA,41000,petrol,auto,2018,27950,https://www.standvirtual.com/carros/anuncio/abarth-695c-1-4-t-jet-rivale-mta-ID8PL47d.html,0,180,1368
Abarth,Abarth 595C 1.4 T-Jet Custom MTA,41300,petrol,auto,2016,21900,https://www.standvirtual.com/carros/anuncio/abarth-595c-1-4-t-jet-custom-mta-ID8PKIW7.html,0,140,1368
Abarth,Abarth 595 1.4 T-Jet Competizione,33000,petrol,manual,2019,26990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-ID8PK2Io.html,3,180,1368
Abarth,Abarth 595 1.4 T-Jet Competizione MTA,31080,petrol,auto,2019,26990,https://www.standvirtual.com/carros/anuncio/abarth-595-1-4-t-jet-competizione-mta-ID8PKWrp.html,3,180,1368
Abarth,Abarth 595 Competizione,68000,petrol,manual,2019,26999,https://www.standvirtual.com/carros/anuncio/abarth-595-competizione-ID8PIKtg.html,3,180,1368
